method,segment_number,start_index,end_index_exclusive,end_index_inclusive,start_time,end_time,length_samples,length_hours
PELT,72,13734,13956,13955,2020-04-05 09:10:00,2020-04-06 22:00:00,222,37.0
PELT,73,13956,14172,14171,2020-04-06 22:10:00,2020-04-08 10:00:00,216,36.0
PELT,74,14172,14316,14315,2020-04-08 10:10:00,2020-04-09 10:00:00,144,24.0
PELT,75,14316,14520,14519,2020-04-09 10:10:00,2020-04-10 20:00:00,204,34.0
PELT,76,14520,14742,14741,2020-04-10 20:10:00,2020-04-12 09:00:00,222,37.0
PELT,77,14742,14892,14891,2020-04-12 09:10:00,2020-04-13 10:00:00,150,25.0
PELT,78,14892,15174,15173,2020-04-13 10:10:00,2020-04-15 09:00:00,282,47.0
PELT,79,15174,15318,15317,2020-04-15 09:10:00,2020-04-16 09:00:00,144,24.0
PELT,80,15318,15522,15521,2020-04-16 09:10:00,2020-04-17 19:00:00,204,34.0
PELT,81,15522,15744,15743,2020-04-17 19:10:00,2020-04-19 08:00:00,222,37.0
PELT,82,15744,15894,15893,2020-04-19 08:10:00,2020-04-20 09:00:00,150,25.0
PELT,83,15894,16092,16091,2020-04-20 09:10:00,2020-04-21 18:00:00,198,33.0
PELT,84,16092,16260,16259,2020-04-21 18:10:00,2020-04-22 22:00:00,168,28.0
PELT,85,16260,16410,16409,2020-04-22 22:10:00,2020-04-23 23:00:00,150,25.0
PELT,86,16410,16566,16565,2020-04-23 23:10:00,2020-04-25 01:00:00,156,26.0
PELT,87,16566,16752,16751,2020-04-25 01:10:00,2020-04-26 08:00:00,186,31.0
PELT,88,16752,16902,16901,2020-04-26 08:10:00,2020-04-27 09:00:00,150,25.0
PELT,89,16902,17082,17081,2020-04-27 09:10:00,2020-04-28 15:00:00,180,30.0
PELT,90,17082,17328,17327,2020-04-28 15:10:00,2020-04-30 08:00:00,246,41.0
PELT,91,17328,17538,17537,2020-04-30 08:10:00,2020-05-01 19:00:00,210,35.0
PELT,92,17538,17712,17711,2020-05-01 19:10:00,2020-05-03 00:00:00,174,29.0
PELT,93,17712,17856,17855,2020-05-03 00:10:00,2020-05-04 00:00:00,144,24.0
PELT,94,17856,18054,18053,2020-05-04 00:10:00,2020-05-05 09:00:00,198,33.0
PELT,95,18054,18234,18233,2020-05-05 09:10:00,2020-05-06 15:00:00,180,30.0
PELT,96,18234,18480,18479,2020-05-06 15:10:00,2020-05-08 08:00:00,246,41.0
PELT,97,18480,18696,18695,2020-05-08 08:10:00,2020-05-09 20:00:00,216,36.0
PELT,98,18696,18882,18881,2020-05-09 20:10:00,2020-05-11 03:00:00,186,31.0
PELT,99,18882,19026,19025,2020-05-11 03:10:00,2020-05-12 03:00:00,144,24.0
PELT,100,19026,19236,19235,2020-05-12 03:10:00,2020-05-13 14:00:00,210,35.0
PELT,101,19236,19482,19481,2020-05-13 14:10:00,2020-05-15 07:00:00,246,41.0
PELT,102,19482,19698,19697,2020-05-15 07:10:00,2020-05-16 19:00:00,216,36.0
PELT,103,19698,19920,19919,2020-05-16 19:10:00,2020-05-18 08:00:00,222,37.0
PELT,104,19920,20124,20123,2020-05-18 08:10:00,2020-05-19 18:00:00,204,34.0
PELT,105,20124,20346,20345,2020-05-19 18:10:00,2020-05-21 07:00:00,222,37.0
PELT,106,20346,20520,20519,2020-05-21 07:10:00,2020-05-22 12:00:00,174,29.0
PELT,107,20520,20664,20663,2020-05-22 12:10:00,2020-05-23 12:00:00,144,24.0
PELT,108,20664,20976,20975,2020-05-23 12:10:00,2020-05-25 16:00:00,312,52.0
PELT,109,20976,21210,21209,2020-05-25 16:10:00,2020-05-27 07:00:00,234,39.0
PELT,110,21210,21354,21353,2020-05-27 07:10:00,2020-05-28 07:00:00,144,24.0
PELT,111,21354,21546,21545,2020-05-28 07:10:00,2020-05-29 16:30:00,192,32.0
PELT,112,21546,21702,21701,2020-05-29 16:40:00,2020-05-30 18:30:00,156,26.0
PELT,113,21702,21924,21923,2020-05-30 18:40:00,2020-06-01 07:30:00,222,37.0
PELT,114,21924,22122,22121,2020-06-01 07:40:00,2020-06-02 16:30:00,198,33.0
PELT,115,22122,22266,22265,2020-06-02 16:40:00,2020-06-03 16:30:00,144,24.0
PELT,116,22266,22506,22505,2020-06-03 16:40:00,2020-06-05 08:30:00,240,40.0
PELT,117,22506,22698,22697,2020-06-05 08:40:00,2020-06-06 16:30:00,192,32.0
PELT,118,22698,22932,22931,2020-06-06 16:40:00,2020-06-08 07:30:00,234,39.0
PELT,119,22932,23124,23123,2020-06-08 07:40:00,2020-06-09 15:30:00,192,32.0
PELT,120,23124,23322,23321,2020-06-09 15:40:00,2020-06-11 00:30:00,198,33.0
PELT,121,23322,23508,23507,2020-06-11 00:40:00,2020-06-12 07:30:00,186,31.0
PELT,122,23508,23718,23717,2020-06-12 07:40:00,2020-06-13 18:30:00,210,35.0
PELT,123,23718,23874,23873,2020-06-13 18:40:00,2020-06-14 20:30:00,156,26.0
PELT,124,23874,24072,24071,2020-06-14 20:40:00,2020-06-16 05:30:00,198,33.0
PELT,125,24072,24216,24215,2020-06-16 05:40:00,2020-06-17 05:30:00,144,24.0
PELT,126,24216,24360,24359,2020-06-17 05:40:00,2020-06-18 05:30:00,144,24.0
PELT,127,24360,24510,24509,2020-06-18 05:40:00,2020-06-19 06:30:00,150,25.0
PELT,128,24510,24684,24683,2020-06-19 06:40:00,2020-06-20 11:30:00,174,29.0
PELT,129,24684,24894,24893,2020-06-20 11:40:00,2020-06-21 22:30:00,210,35.0
PELT,130,24894,25098,25097,2020-06-21 22:40:00,2020-06-23 08:30:00,204,34.0
PELT,131,25098,25302,25301,2020-06-23 08:40:00,2020-06-24 18:30:00,204,34.0
PELT,132,25302,25524,25523,2020-06-24 18:40:00,2020-06-26 07:30:00,222,37.0
PELT,133,25524,25716,25715,2020-06-26 07:40:00,2020-06-27 15:30:00,192,32.0
PELT,134,25716,25860,25859,2020-06-27 15:40:00,2020-06-28 15:30:00,144,24.0
PELT,135,25860,26094,26093,2020-06-28 15:40:00,2020-06-30 06:30:00,234,39.0
PELT,136,26094,26298,26297,2020-06-30 06:40:00,2020-07-01 16:30:00,204,34.0
PELT,137,26298,26454,26453,2020-07-01 16:40:00,2020-07-02 18:30:00,156,26.0
PELT,138,26454,26670,26669,2020-07-02 18:40:00,2020-07-04 06:30:00,216,36.0
PELT,139,26670,26814,26813,2020-07-04 06:40:00,2020-07-05 06:30:00,144,24.0
PELT,140,26814,26958,26957,2020-07-05 06:40:00,2020-07-06 06:30:00,144,24.0
PELT,141,26958,27204,27203,2020-07-06 06:40:00,2020-07-07 23:30:00,246,41.0
PELT,142,27204,27408,27407,2020-07-07 23:40:00,2020-07-09 09:30:00,204,34.0
PELT,143,27408,27606,27605,2020-07-09 09:40:00,2020-07-10 18:30:00,198,33.0
PELT,144,27606,27828,27827,2020-07-10 18:40:00,2020-07-12 07:30:00,222,37.0
PELT,145,27828,28020,28019,2020-07-12 07:40:00,2020-07-13 15:30:00,192,32.0
PELT,146,28020,28218,28217,2020-07-13 15:40:00,2020-07-15 00:30:00,198,33.0
PELT,147,28218,28362,28361,2020-07-15 00:40:00,2020-07-16 00:30:00,144,24.0
PELT,148,28362,28554,28553,2020-07-16 00:40:00,2020-07-17 08:30:00,192,32.0
PELT,149,28554,28698,28697,2020-07-17 08:40:00,2020-07-18 08:30:00,144,24.0
PELT,150,28698,28926,28925,2020-07-18 08:40:00,2020-07-19 22:30:00,228,38.0
PELT,151,28926,29124,29123,2020-07-19 22:40:00,2020-07-21 07:30:00,198,33.0
PELT,152,29124,29334,29333,2020-07-21 07:40:00,2020-07-22 18:30:00,210,35.0
PELT,153,29334,29562,29561,2020-07-22 18:40:00,2020-07-24 08:30:00,228,38.0
PELT,154,29562,29790,29789,2020-07-24 08:40:00,2020-07-25 22:30:00,228,38.0
PELT,155,29790,29994,29993,2020-07-25 22:40:00,2020-07-27 08:30:00,204,34.0
PELT,156,29994,30210,30209,2020-07-27 08:40:00,2020-07-28 20:30:00,216,36.0
PELT,157,30210,30354,30353,2020-07-28 20:40:00,2020-07-29 20:30:00,144,24.0
PELT,158,30354,30570,30569,2020-07-29 20:40:00,2020-07-31 08:30:00,216,36.0
PELT,159,30570,30786,30785,2020-07-31 08:40:00,2020-08-01 20:30:00,216,36.0
PELT,160,30786,30996,30995,2020-08-01 20:40:00,2020-08-03 07:30:00,210,35.0
PELT,161,30996,31296,31295,2020-08-03 07:40:00,2020-08-05 09:30:00,300,50.0
PELT,162,31296,31530,31529,2020-08-05 09:40:00,2020-08-07 00:30:00,234,39.0
PELT,163,31530,31728,31727,2020-08-07 00:40:00,2020-08-08 09:30:00,198,33.0
PELT,164,31728,31938,31937,2020-08-08 09:40:00,2020-08-09 20:30:00,210,35.0
PELT,165,31938,32154,32153,2020-08-09 20:40:00,2020-08-11 08:30:00,216,36.0
PELT,166,32154,32346,32345,2020-08-11 08:40:00,2020-08-12 16:30:00,192,32.0
PELT,167,32346,32526,32525,2020-08-12 16:40:00,2020-08-13 22:30:00,180,30.0
PELT,168,32526,32682,32681,2020-08-13 22:40:00,2020-08-15 00:30:00,156,26.0
PELT,169,32682,32880,32879,2020-08-15 00:40:00,2020-08-16 09:30:00,198,33.0
PELT,170,32880,33054,33053,2020-08-16 09:40:00,2020-08-17 14:30:00,174,29.0
PELT,171,33054,33306,33305,2020-08-17 14:40:00,2020-08-19 08:30:00,252,42.0
PELT,172,33306,33456,33455,2020-08-19 08:40:00,2020-08-20 09:30:00,150,25.0
PELT,173,33456,33672,33671,2020-08-20 09:40:00,2020-08-21 21:30:00,216,36.0
PELT,174,33672,33816,33815,2020-08-21 21:40:00,2020-08-22 21:30:00,144,24.0
PELT,175,33816,33960,33959,2020-08-22 21:40:00,2020-08-23 21:30:00,144,24.0
PELT,176,33960,34176,34175,2020-08-23 21:40:00,2020-08-25 09:30:00,216,36.0
PELT,177,34176,34398,34397,2020-08-25 09:40:00,2020-08-26 22:30:00,222,37.0
PELT,178,34398,34596,34595,2020-08-26 22:40:00,2020-08-28 07:30:00,198,33.0
PELT,179,34596,34770,34769,2020-08-28 07:40:00,2020-08-29 12:30:00,174,29.0
PELT,180,34770,34914,34913,2020-08-29 12:40:00,2020-08-30 12:30:00,144,24.0
PELT,181,34914,35058,35057,2020-08-30 12:40:00,2020-08-31 12:30:00,144,24.0
PELT,182,35058,35262,35261,2020-08-31 12:40:00,2020-09-01 22:30:00,204,34.0
PELT,183,35262,35472,35471,2020-09-01 22:40:00,2020-09-03 09:30:00,210,35.0
PELT,184,35472,35688,35687,2020-09-03 09:40:00,2020-09-04 21:30:00,216,36.0
PELT,185,35688,35892,35891,2020-09-04 21:40:00,2020-09-06 07:30:00,204,34.0
PELT,186,35892,36192,36191,2020-09-06 07:40:00,2020-09-08 09:30:00,300,50.0
PELT,187,36192,36384,36383,2020-09-08 09:40:00,2020-09-09 17:30:00,192,32.0
PELT,188,36384,36546,36545,2020-09-09 17:40:00,2020-09-10 20:30:00,162,27.0
PELT,189,36546,36768,36767,2020-09-10 20:40:00,2020-09-12 09:30:00,222,37.0
PELT,190,36768,36972,36971,2020-09-12 09:40:00,2020-09-13 19:30:00,204,34.0
PELT,191,36972,37200,37199,2020-09-13 19:40:00,2020-09-15 09:30:00,228,38.0
PELT,192,37200,37416,37415,2020-09-15 09:40:00,2020-09-16 21:30:00,216,36.0
PELT,193,37416,37560,37559,2020-09-16 21:40:00,2020-09-17 21:30:00,144,24.0
PELT,194,37560,37782,37781,2020-09-17 21:40:00,2020-09-19 10:30:00,222,37.0
PELT,195,37782,38004,38003,2020-09-19 10:40:00,2020-09-20 23:30:00,222,37.0
PELT,196,38004,38208,38207,2020-09-20 23:40:00,2020-09-22 09:30:00,204,34.0
PELT,197,38208,38388,38387,2020-09-22 09:40:00,2020-09-23 15:30:00,180,30.0
PELT,198,38388,38574,38573,2020-09-23 15:40:00,2020-09-24 22:30:00,186,31.0
PELT,199,38574,38718,38717,2020-09-24 22:40:00,2020-09-25 22:30:00,144,24.0
PELT,200,38718,38862,38861,2020-09-25 22:40:00,2020-09-26 22:30:00,144,24.0
PELT,201,38862,39078,39077,2020-09-26 22:40:00,2020-09-28 10:30:00,216,36.0
PELT,202,39078,39282,39281,2020-09-28 10:40:00,2020-09-29 20:30:00,204,34.0
PELT,203,39282,39510,39509,2020-09-29 20:40:00,2020-10-01 10:30:00,228,38.0
PELT,204,39510,39654,39653,2020-10-01 10:40:00,2020-10-02 10:30:00,144,24.0
PELT,205,39654,39834,39833,2020-10-02 10:40:00,2020-10-03 16:30:00,180,30.0
PELT,206,39834,39978,39977,2020-10-03 16:40:00,2020-10-04 16:30:00,144,24.0
PELT,207,39978,40122,40121,2020-10-04 16:40:00,2020-10-05 16:30:00,144,24.0
PELT,208,40122,40278,40277,2020-10-05 16:40:00,2020-10-06 18:30:00,156,26.0
PELT,209,40278,40482,40481,2020-10-06 18:40:00,2020-10-08 04:30:00,204,34.0
PELT,210,40482,40626,40625,2020-10-08 04:40:00,2020-10-09 04:30:00,144,24.0
PELT,211,40626,40776,40775,2020-10-09 04:40:00,2020-10-10 05:30:00,150,25.0
PELT,212,40776,41130,41129,2020-10-10 05:40:00,2020-10-12 16:30:00,354,59.0
PELT,213,41130,41346,41345,2020-10-12 16:40:00,2020-10-14 04:30:00,216,36.0
PELT,214,41346,41508,41507,2020-10-14 04:40:00,2020-10-15 07:30:00,162,27.0
PELT,215,41508,41766,41765,2020-10-15 07:40:00,2020-10-17 02:30:00,258,43.0
PELT,216,41766,41952,41951,2020-10-17 02:40:00,2020-10-18 09:30:00,186,31.0
PELT,217,41952,42240,42239,2020-10-18 09:40:00,2020-10-20 09:30:00,288,48.0
PELT,218,42240,42396,42395,2020-10-20 09:40:00,2020-10-21 11:30:00,156,26.0
PELT,219,42396,42594,42593,2020-10-21 11:40:00,2020-10-22 20:30:00,198,33.0
PELT,220,42594,42816,42815,2020-10-22 20:40:00,2020-10-24 09:30:00,222,37.0
PELT,221,42816,43038,43037,2020-10-24 09:40:00,2020-10-25 22:30:00,222,37.0
PELT,222,43038,43182,43181,2020-10-25 22:40:00,2020-10-26 22:30:00,144,24.0
PELT,223,43182,43428,43427,2020-10-26 22:40:00,2020-10-28 15:30:00,246,41.0
PELT,224,43428,43608,43607,2020-10-28 15:40:00,2020-10-29 21:30:00,180,30.0
PELT,225,43608,43752,43751,2020-10-29 21:40:00,2020-10-30 21:30:00,144,24.0
PELT,226,43752,44058,44057,2020-10-30 21:40:00,2020-11-02 00:30:00,306,51.0
PELT,227,44058,44208,44207,2020-11-02 00:40:00,2020-11-03 01:30:00,150,25.0
PELT,228,44208,44454,44453,2020-11-03 01:40:00,2020-11-04 18:30:00,246,41.0
PELT,229,44454,44838,44837,2020-11-04 18:40:00,2020-11-07 10:30:00,384,64.0
PELT,230,44838,45048,45047,2020-11-07 10:40:00,2020-11-08 21:30:00,210,35.0
PELT,231,45048,45234,45233,2020-11-08 21:40:00,2020-11-10 04:30:00,186,31.0
PELT,232,45234,45378,45377,2020-11-10 04:40:00,2020-11-11 04:30:00,144,24.0
PELT,233,45378,45522,45521,2020-11-11 04:40:00,2020-11-12 04:30:00,144,24.0
PELT,234,45522,45708,45707,2020-11-12 04:40:00,2020-11-13 11:30:00,186,31.0
PELT,235,45708,45984,45983,2020-11-13 11:40:00,2020-11-15 09:30:00,276,46.0
PELT,236,45984,46170,46169,2020-11-15 09:40:00,2020-11-16 16:30:00,186,31.0
PELT,237,46170,46626,46625,2020-11-16 16:40:00,2020-11-19 20:30:00,456,76.0
PELT,238,46626,46860,46859,2020-11-19 20:40:00,2020-11-21 11:30:00,234,39.0
PELT,239,46860,47010,47009,2020-11-21 11:40:00,2020-11-22 12:30:00,150,25.0
PELT,240,47010,47190,47189,2020-11-22 12:40:00,2020-11-23 18:30:00,180,30.0
PELT,241,47190,47652,47651,2020-11-23 18:40:00,2020-11-26 23:30:00,462,77.0
PELT,242,47652,47874,47873,2020-11-26 23:40:00,2020-11-28 12:30:00,222,37.0
PELT,243,47874,48156,48155,2020-11-28 12:40:00,2020-11-30 11:30:00,282,47.0
PELT,244,48156,48300,48299,2020-11-30 11:40:00,2020-12-01 11:30:00,144,24.0
PELT,245,48300,48486,48485,2020-12-01 11:40:00,2020-12-02 18:30:00,186,31.0
PELT,246,48486,48630,48629,2020-12-02 18:40:00,2020-12-03 18:30:00,144,24.0
PELT,247,48630,48780,48779,2020-12-03 18:40:00,2020-12-04 19:30:00,150,25.0
PELT,248,48780,48978,48977,2020-12-04 19:40:00,2020-12-06 04:30:00,198,33.0
PELT,249,48978,49134,49133,2020-12-06 04:40:00,2020-12-07 06:30:00,156,26.0
PELT,250,49134,49278,49277,2020-12-07 06:40:00,2020-12-08 06:30:00,144,24.0
PELT,251,49278,49440,49439,2020-12-08 06:40:00,2020-12-09 09:30:00,162,27.0
PELT,252,49440,49584,49583,2020-12-09 09:40:00,2020-12-10 09:30:00,144,24.0
PELT,253,49584,49728,49727,2020-12-10 09:40:00,2020-12-11 09:30:00,144,24.0
PELT,254,49728,49932,49931,2020-12-11 09:40:00,2020-12-12 19:30:00,204,34.0
PELT,255,49932,50148,50147,2020-12-12 19:40:00,2020-12-14 07:30:00,216,36.0
PELT,256,50148,50340,50339,2020-12-14 07:40:00,2020-12-15 15:30:00,192,32.0
PELT,257,50340,50508,50507,2020-12-15 15:40:00,2020-12-16 19:30:00,168,28.0
PELT,258,50508,50652,50651,2020-12-16 19:40:00,2020-12-17 19:30:00,144,24.0
PELT,259,50652,51240,51239,2020-12-17 19:40:00,2020-12-21 21:30:00,588,98.0
PELT,260,51240,51384,51383,2020-12-21 21:40:00,2020-12-22 21:30:00,144,24.0
PELT,261,51384,51528,51527,2020-12-22 21:40:00,2020-12-23 21:30:00,144,24.0
PELT,262,51528,51672,51671,2020-12-23 21:40:00,2020-12-24 21:30:00,144,24.0
PELT,263,51672,51912,51911,2020-12-24 21:40:00,2020-12-26 13:30:00,240,40.0
PELT,264,51912,52068,52067,2020-12-26 13:40:00,2020-12-27 15:30:00,156,26.0
PELT,265,52068,52212,52211,2020-12-27 15:40:00,2020-12-28 15:30:00,144,24.0
PELT,266,52212,52356,52355,2020-12-28 15:40:00,2020-12-29 15:30:00,144,24.0
PELT,267,52356,52695,52694,2020-12-29 15:40:00,2021-01-01 00:00:00,339,56.5
