segment_number,H2OC__sh_g__correlation,T_degC__rho__correlation
225,0.999993031391724,-0.983897443067558
226,0.999987650589351,-0.864957665110567
227,0.999957531064626,-0.970367379703146
228,0.999988818734997,-0.973571058212081
229,0.999985047376956,-0.979206509834746
230,0.999986886456318,-0.998724089878651
231,0.999982582253279,-0.996273547756835
232,0.999953095752969,-0.999239772593844
233,0.999979269303621,-0.973784563113804
234,0.999986000459896,-0.999450223865967
235,0.999981663212028,-0.991115855946754
236,0.999972311795522,-0.917184061292682
237,0.999981031502358,-0.728789773912495
238,0.999982627726172,-0.98227320436568
239,0.99998572262567,-0.93864885198122
240,0.999968204557243,-0.938526359254279
241,0.999973286175444,-0.967557789494236
242,0.999944391957581,-0.997000835941338
243,0.999922828238928,-0.960024869656102
244,0.99991073250064,-0.683017941736556
245,0.999829558615054,-0.802990035166846
246,0.999821147986575,-0.945449694328707
247,0.999889405358934,-0.959942793490289
248,0.999929258246907,-0.61020276251553
249,0.999848093688512,-0.943056449110565
250,0.999864683947377,-0.815909213179184
251,0.999781756969449,-0.99252733380716
252,0.999715188980139,-0.900106020668317
253,0.998831031115733,-0.692117756825258
254,0.999922516209004,-0.93889562362172
255,0.999950518075045,-0.745769102059688
256,0.999928439995778,-0.997603129346148
257,0.999926443633649,-0.915079009600898
258,0.999909422091942,-0.934945664993259
259,0.99997431652603,-0.97422324211435
260,0.999992290930633,-0.987852733719233
261,0.999953261986152,-0.867646304157983
262,0.999995296145276,-0.994774226267028
263,0.999979291710327,-0.971705908378386
264,0.99995504286288,0.670441361134521
265,0.99998026876219,-0.841750183045479
266,0.999891038052912,-0.851899400191166
267,0.999898291232649,-0.79882986809746
