method,segment_number,start_index,end_index_exclusive,end_index_inclusive,start_time,end_time,length_samples,length_hours,cluster,operation_id
SlidingWindowSymmetricKL,45,9181,9331,9330,2020-03-04 18:20:00,2020-03-05 19:10:00,150,25.0,1,OP_002
SlidingWindowSymmetricKL,46,9331,9557,9556,2020-03-05 19:20:00,2020-03-07 08:50:00,226,37.66666666666666,1,OP_002
SlidingWindowSymmetricKL,47,9557,9834,9833,2020-03-07 09:00:00,2020-03-09 07:00:00,277,46.16666666666666,1,OP_002
SlidingWindowSymmetricKL,48,9834,10052,10051,2020-03-09 07:10:00,2020-03-10 19:20:00,218,36.333333333333336,1,OP_002
SlidingWindowSymmetricKL,49,10052,10223,10222,2020-03-10 19:30:00,2020-03-11 23:50:00,171,28.5,1,OP_002
SlidingWindowSymmetricKL,50,10223,10477,10476,2020-03-12 00:00:00,2020-03-13 18:10:00,254,42.333333333333336,1,OP_002
SlidingWindowSymmetricKL,51,10477,10623,10622,2020-03-13 18:20:00,2020-03-14 18:30:00,146,24.33333333333333,1,OP_002
SlidingWindowSymmetricKL,52,10623,10767,10766,2020-03-14 18:40:00,2020-03-15 18:30:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,53,10767,10911,10910,2020-03-15 18:40:00,2020-03-16 18:30:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,54,10911,11126,11125,2020-03-16 18:40:00,2020-03-18 06:20:00,215,35.833333333333336,1,OP_002
SlidingWindowSymmetricKL,55,11126,11270,11269,2020-03-18 06:30:00,2020-03-19 06:20:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,56,11270,11532,11531,2020-03-19 06:30:00,2020-03-21 02:00:00,262,43.66666666666666,1,OP_002
SlidingWindowSymmetricKL,57,11532,11776,11775,2020-03-21 02:10:00,2020-03-22 18:40:00,244,40.66666666666666,1,OP_002
SlidingWindowSymmetricKL,58,11776,11920,11919,2020-03-22 18:50:00,2020-03-23 18:40:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,59,11920,12132,12131,2020-03-23 18:50:00,2020-03-25 06:00:00,212,35.333333333333336,1,OP_002
SlidingWindowSymmetricKL,60,12132,12276,12275,2020-03-25 06:10:00,2020-03-26 06:00:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,61,12276,12497,12496,2020-03-26 06:10:00,2020-03-27 18:50:00,221,36.833333333333336,1,OP_002
SlidingWindowSymmetricKL,62,12497,12641,12640,2020-03-27 19:00:00,2020-03-28 18:50:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,63,12641,12796,12795,2020-03-28 19:00:00,2020-03-29 20:40:00,155,25.83333333333333,1,OP_002
SlidingWindowSymmetricKL,64,12796,12998,12997,2020-03-29 20:50:00,2020-03-31 06:20:00,202,33.666666666666664,1,OP_002
SlidingWindowSymmetricKL,65,12998,13217,13216,2020-03-31 06:30:00,2020-04-01 18:50:00,219,36.5,1,OP_002
SlidingWindowSymmetricKL,66,13217,13362,13361,2020-04-01 19:00:00,2020-04-02 19:00:00,145,24.166666666666668,1,OP_002
SlidingWindowSymmetricKL,67,13362,13714,13713,2020-04-02 19:10:00,2020-04-05 05:40:00,352,58.66666666666666,1,OP_002
SlidingWindowSymmetricKL,68,13714,13858,13857,2020-04-05 05:50:00,2020-04-06 05:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,69,13858,14171,14170,2020-04-06 05:50:00,2020-04-08 09:50:00,313,52.16666666666666,0,OP_001
SlidingWindowSymmetricKL,70,14171,14371,14370,2020-04-08 10:00:00,2020-04-09 19:10:00,200,33.333333333333336,0,OP_001
SlidingWindowSymmetricKL,71,14371,14576,14575,2020-04-09 19:20:00,2020-04-11 05:20:00,205,34.166666666666664,0,OP_001
SlidingWindowSymmetricKL,72,14576,14720,14719,2020-04-11 05:30:00,2020-04-12 05:20:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,73,14720,14948,14947,2020-04-12 05:30:00,2020-04-13 19:20:00,228,38.0,0,OP_001
SlidingWindowSymmetricKL,74,14948,15092,15091,2020-04-13 19:30:00,2020-04-14 19:20:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,75,15092,15379,15378,2020-04-14 19:30:00,2020-04-16 19:10:00,287,47.833333333333336,0,OP_001
SlidingWindowSymmetricKL,76,15379,15667,15666,2020-04-16 19:20:00,2020-04-18 19:10:00,288,48.0,0,OP_001
SlidingWindowSymmetricKL,77,15667,15871,15870,2020-04-18 19:20:00,2020-04-20 05:10:00,204,34.0,1,OP_002
SlidingWindowSymmetricKL,78,15871,16158,16157,2020-04-20 05:20:00,2020-04-22 05:00:00,287,47.833333333333336,1,OP_002
SlidingWindowSymmetricKL,79,16158,16389,16388,2020-04-22 05:10:00,2020-04-23 19:30:00,231,38.5,0,OP_001
SlidingWindowSymmetricKL,80,16389,16533,16532,2020-04-23 19:40:00,2020-04-24 19:30:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,81,16533,16678,16677,2020-04-24 19:40:00,2020-04-25 19:40:00,145,24.166666666666668,1,OP_002
SlidingWindowSymmetricKL,82,16678,16822,16821,2020-04-25 19:50:00,2020-04-26 19:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,83,16822,17115,17114,2020-04-26 19:50:00,2020-04-28 20:30:00,293,48.833333333333336,0,OP_001
SlidingWindowSymmetricKL,84,17115,17312,17311,2020-04-28 20:40:00,2020-04-30 05:20:00,197,32.833333333333336,0,OP_001
SlidingWindowSymmetricKL,85,17312,17498,17497,2020-04-30 05:30:00,2020-05-01 12:20:00,186,31.0,1,OP_002
SlidingWindowSymmetricKL,86,17498,17657,17656,2020-05-01 12:30:00,2020-05-02 14:50:00,159,26.5,1,OP_002
SlidingWindowSymmetricKL,87,17657,17958,17957,2020-05-02 15:00:00,2020-05-04 17:00:00,301,50.16666666666666,1,OP_002
SlidingWindowSymmetricKL,88,17958,18119,18118,2020-05-04 17:10:00,2020-05-05 19:50:00,161,26.83333333333333,0,OP_001
SlidingWindowSymmetricKL,89,18119,18263,18262,2020-05-05 20:00:00,2020-05-06 19:50:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,90,18263,18407,18406,2020-05-06 20:00:00,2020-05-07 19:50:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,91,18407,18551,18550,2020-05-07 20:00:00,2020-05-08 19:50:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,92,18551,18809,18808,2020-05-08 20:00:00,2020-05-10 14:50:00,258,43.0,0,OP_001
SlidingWindowSymmetricKL,93,18809,18974,18973,2020-05-10 15:00:00,2020-05-11 18:20:00,165,27.5,1,OP_002
SlidingWindowSymmetricKL,94,18974,19180,19179,2020-05-11 18:30:00,2020-05-13 04:40:00,206,34.333333333333336,1,OP_002
SlidingWindowSymmetricKL,95,19180,19467,19466,2020-05-13 04:50:00,2020-05-15 04:30:00,287,47.833333333333336,1,OP_002
SlidingWindowSymmetricKL,96,19467,19704,19703,2020-05-15 04:40:00,2020-05-16 20:00:00,237,39.5,0,OP_001
SlidingWindowSymmetricKL,97,19704,19849,19848,2020-05-16 20:10:00,2020-05-17 20:10:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,98,19849,20042,20041,2020-05-17 20:20:00,2020-05-19 04:20:00,193,32.166666666666664,0,OP_001
SlidingWindowSymmetricKL,99,20042,20218,20217,2020-05-19 04:30:00,2020-05-20 09:40:00,176,29.33333333333333,0,OP_001
SlidingWindowSymmetricKL,100,20218,20425,20424,2020-05-20 09:50:00,2020-05-21 20:10:00,207,34.5,0,OP_001
SlidingWindowSymmetricKL,101,20425,20575,20574,2020-05-21 20:20:00,2020-05-22 21:10:00,150,25.0,0,OP_001
SlidingWindowSymmetricKL,102,20575,20761,20760,2020-05-22 21:20:00,2020-05-24 04:10:00,186,31.0,1,OP_002
SlidingWindowSymmetricKL,103,20761,20908,20907,2020-05-24 04:20:00,2020-05-25 04:40:00,147,24.5,0,OP_001
SlidingWindowSymmetricKL,104,20908,21146,21145,2020-05-25 04:50:00,2020-05-26 20:20:00,238,39.66666666666666,0,OP_001
SlidingWindowSymmetricKL,105,21146,21340,21339,2020-05-26 20:30:00,2020-05-28 04:40:00,194,32.333333333333336,0,OP_001
SlidingWindowSymmetricKL,106,21340,21615,21614,2020-05-28 04:50:00,2020-05-30 04:00:00,275,45.833333333333336,0,OP_001
SlidingWindowSymmetricKL,107,21615,21857,21856,2020-05-30 04:10:00,2020-05-31 20:20:00,242,40.333333333333336,0,OP_001
SlidingWindowSymmetricKL,108,21857,22001,22000,2020-05-31 20:30:00,2020-06-01 20:20:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,109,22001,22268,22267,2020-06-01 20:30:00,2020-06-03 16:50:00,267,44.5,0,OP_001
SlidingWindowSymmetricKL,110,22268,22437,22436,2020-06-03 17:00:00,2020-06-04 21:00:00,169,28.166666666666668,1,OP_002
SlidingWindowSymmetricKL,111,22437,22581,22580,2020-06-04 21:10:00,2020-06-05 21:00:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,112,22581,22766,22765,2020-06-05 21:10:00,2020-06-07 03:50:00,185,30.83333333333333,0,OP_001
SlidingWindowSymmetricKL,113,22766,22911,22910,2020-06-07 04:00:00,2020-06-08 04:00:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,114,22911,23122,23121,2020-06-08 04:10:00,2020-06-09 15:10:00,211,35.166666666666664,0,OP_001
SlidingWindowSymmetricKL,115,23122,23334,23333,2020-06-09 15:20:00,2020-06-11 02:30:00,212,35.333333333333336,0,OP_001
SlidingWindowSymmetricKL,116,23334,23490,23489,2020-06-11 02:40:00,2020-06-12 04:30:00,156,26.0,1,OP_002
SlidingWindowSymmetricKL,117,23490,23774,23773,2020-06-12 04:40:00,2020-06-14 03:50:00,284,47.333333333333336,0,OP_001
SlidingWindowSymmetricKL,118,23774,23939,23938,2020-06-14 04:00:00,2020-06-15 07:20:00,165,27.5,1,OP_002
SlidingWindowSymmetricKL,119,23939,24160,24159,2020-06-15 07:30:00,2020-06-16 20:10:00,221,36.833333333333336,0,OP_001
SlidingWindowSymmetricKL,120,24160,24362,24361,2020-06-16 20:20:00,2020-06-18 05:50:00,202,33.666666666666664,0,OP_001
SlidingWindowSymmetricKL,121,24362,24584,24583,2020-06-18 06:00:00,2020-06-19 18:50:00,222,37.0,0,OP_001
SlidingWindowSymmetricKL,122,24584,24739,24738,2020-06-19 19:00:00,2020-06-20 20:40:00,155,25.83333333333333,0,OP_001
SlidingWindowSymmetricKL,123,24739,24883,24882,2020-06-20 20:50:00,2020-06-21 20:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,124,24883,25071,25070,2020-06-21 20:50:00,2020-06-23 04:00:00,188,31.33333333333333,0,OP_001
SlidingWindowSymmetricKL,125,25071,25215,25214,2020-06-23 04:10:00,2020-06-24 04:00:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,126,25215,25458,25457,2020-06-24 04:10:00,2020-06-25 20:30:00,243,40.5,0,OP_001
SlidingWindowSymmetricKL,127,25458,25725,25724,2020-06-25 20:40:00,2020-06-27 17:00:00,267,44.5,0,OP_001
SlidingWindowSymmetricKL,128,25725,25936,25935,2020-06-27 17:10:00,2020-06-29 04:10:00,211,35.166666666666664,0,OP_001
SlidingWindowSymmetricKL,129,25936,26080,26079,2020-06-29 04:20:00,2020-06-30 04:10:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,130,26080,26224,26223,2020-06-30 04:20:00,2020-07-01 04:10:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,131,26224,26463,26462,2020-07-01 04:20:00,2020-07-02 20:00:00,239,39.833333333333336,0,OP_001
SlidingWindowSymmetricKL,132,26463,26610,26609,2020-07-02 20:10:00,2020-07-03 20:30:00,147,24.5,0,OP_001
SlidingWindowSymmetricKL,133,26610,26754,26753,2020-07-03 20:40:00,2020-07-04 20:30:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,134,26754,26944,26943,2020-07-04 20:40:00,2020-07-06 04:10:00,190,31.666666666666668,0,OP_001
SlidingWindowSymmetricKL,135,26944,27089,27088,2020-07-06 04:20:00,2020-07-07 04:20:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,136,27089,27297,27296,2020-07-07 04:30:00,2020-07-08 15:00:00,208,34.666666666666664,0,OP_001
SlidingWindowSymmetricKL,137,27297,27521,27520,2020-07-08 15:10:00,2020-07-10 04:20:00,224,37.333333333333336,0,OP_001
SlidingWindowSymmetricKL,138,27521,27666,27665,2020-07-10 04:30:00,2020-07-11 04:30:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,139,27666,27906,27905,2020-07-11 04:40:00,2020-07-12 20:30:00,240,40.0,0,OP_001
SlidingWindowSymmetricKL,140,27906,28050,28049,2020-07-12 20:40:00,2020-07-13 20:30:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,141,28050,28335,28334,2020-07-13 20:40:00,2020-07-15 20:00:00,285,47.5,0,OP_001
SlidingWindowSymmetricKL,142,28335,28530,28529,2020-07-15 20:10:00,2020-07-17 04:30:00,195,32.5,0,OP_001
SlidingWindowSymmetricKL,143,28530,28769,28768,2020-07-17 04:40:00,2020-07-18 20:20:00,239,39.833333333333336,0,OP_001
SlidingWindowSymmetricKL,144,28769,28962,28961,2020-07-18 20:30:00,2020-07-20 04:30:00,193,32.166666666666664,0,OP_001
SlidingWindowSymmetricKL,145,28962,29201,29200,2020-07-20 04:40:00,2020-07-21 20:20:00,239,39.833333333333336,0,OP_001
SlidingWindowSymmetricKL,146,29201,29395,29394,2020-07-21 20:30:00,2020-07-23 04:40:00,194,32.333333333333336,0,OP_001
SlidingWindowSymmetricKL,147,29395,29632,29631,2020-07-23 04:50:00,2020-07-24 20:10:00,237,39.5,0,OP_001
SlidingWindowSymmetricKL,148,29632,29830,29829,2020-07-24 20:20:00,2020-07-26 05:10:00,198,33.0,0,OP_001
SlidingWindowSymmetricKL,149,29830,30064,30063,2020-07-26 05:20:00,2020-07-27 20:10:00,234,39.0,0,OP_001
SlidingWindowSymmetricKL,150,30064,30258,30257,2020-07-27 20:20:00,2020-07-29 04:30:00,194,32.333333333333336,0,OP_001
SlidingWindowSymmetricKL,151,30258,30403,30402,2020-07-29 04:40:00,2020-07-30 04:40:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,152,30403,30547,30546,2020-07-30 04:50:00,2020-07-31 04:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,153,30547,30691,30690,2020-07-31 04:50:00,2020-08-01 04:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,154,30691,30914,30913,2020-08-01 04:50:00,2020-08-02 17:50:00,223,37.16666666666666,0,OP_001
SlidingWindowSymmetricKL,155,30914,31071,31070,2020-08-02 18:00:00,2020-08-03 20:00:00,157,26.166666666666668,0,OP_001
SlidingWindowSymmetricKL,156,31071,31358,31357,2020-08-03 20:10:00,2020-08-05 19:50:00,287,47.833333333333336,0,OP_001
SlidingWindowSymmetricKL,157,31358,31556,31555,2020-08-05 20:00:00,2020-08-07 04:50:00,198,33.0,0,OP_001
SlidingWindowSymmetricKL,158,31556,31790,31789,2020-08-07 05:00:00,2020-08-08 19:50:00,234,39.0,0,OP_001
SlidingWindowSymmetricKL,159,31790,32039,32038,2020-08-08 20:00:00,2020-08-10 13:20:00,249,41.5,0,OP_001
SlidingWindowSymmetricKL,160,32039,32221,32220,2020-08-10 13:30:00,2020-08-11 19:40:00,182,30.33333333333333,0,OP_001
SlidingWindowSymmetricKL,161,32221,32365,32364,2020-08-11 19:50:00,2020-08-12 19:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,162,32365,32722,32721,2020-08-12 19:50:00,2020-08-15 07:10:00,357,59.5,0,OP_001
SlidingWindowSymmetricKL,163,32722,32873,32872,2020-08-15 07:20:00,2020-08-16 08:20:00,151,25.166666666666668,0,OP_001
SlidingWindowSymmetricKL,164,32873,33077,33076,2020-08-16 08:30:00,2020-08-17 18:20:00,204,34.0,0,OP_001
SlidingWindowSymmetricKL,165,33077,33286,33285,2020-08-17 18:30:00,2020-08-19 05:10:00,209,34.833333333333336,0,OP_001
SlidingWindowSymmetricKL,166,33286,33515,33514,2020-08-19 05:20:00,2020-08-20 19:20:00,229,38.16666666666666,0,OP_001
SlidingWindowSymmetricKL,167,33515,33704,33703,2020-08-20 19:30:00,2020-08-22 02:50:00,189,31.5,0,OP_001
SlidingWindowSymmetricKL,168,33704,33937,33936,2020-08-22 03:00:00,2020-08-23 17:40:00,233,38.833333333333336,0,OP_001
SlidingWindowSymmetricKL,169,33937,34151,34150,2020-08-23 17:50:00,2020-08-25 05:20:00,214,35.666666666666664,0,OP_001
SlidingWindowSymmetricKL,170,34151,34295,34294,2020-08-25 05:30:00,2020-08-26 05:20:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,171,34295,34440,34439,2020-08-26 05:30:00,2020-08-27 05:30:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,172,34440,34599,34598,2020-08-27 05:40:00,2020-08-28 08:00:00,159,26.5,0,OP_001
SlidingWindowSymmetricKL,173,34599,34811,34810,2020-08-28 08:10:00,2020-08-29 19:20:00,212,35.333333333333336,0,OP_001
SlidingWindowSymmetricKL,174,34811,35014,35013,2020-08-29 19:30:00,2020-08-31 05:10:00,203,33.833333333333336,1,OP_002
SlidingWindowSymmetricKL,175,35014,35200,35199,2020-08-31 05:20:00,2020-09-01 12:10:00,186,31.0,1,OP_002
SlidingWindowSymmetricKL,176,35200,35448,35447,2020-09-01 12:20:00,2020-09-03 05:30:00,248,41.333333333333336,0,OP_001
SlidingWindowSymmetricKL,177,35448,35736,35735,2020-09-03 05:40:00,2020-09-05 05:30:00,288,48.0,0,OP_001
SlidingWindowSymmetricKL,178,35736,35880,35879,2020-09-05 05:40:00,2020-09-06 05:30:00,144,24.0,1,OP_002
SlidingWindowSymmetricKL,179,35880,36025,36024,2020-09-06 05:40:00,2020-09-07 05:40:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,180,36025,36169,36168,2020-09-07 05:50:00,2020-09-08 05:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,181,36169,36313,36312,2020-09-08 05:50:00,2020-09-09 05:40:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,182,36313,36458,36457,2020-09-09 05:50:00,2020-09-10 05:50:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,183,36458,36680,36679,2020-09-10 06:00:00,2020-09-11 18:50:00,222,37.0,0,OP_001
SlidingWindowSymmetricKL,184,36680,36889,36888,2020-09-11 19:00:00,2020-09-13 05:40:00,209,34.833333333333336,0,OP_001
SlidingWindowSymmetricKL,185,36889,37034,37033,2020-09-13 05:50:00,2020-09-14 05:50:00,145,24.166666666666668,0,OP_001
SlidingWindowSymmetricKL,186,37034,37254,37253,2020-09-14 06:00:00,2020-09-15 18:30:00,220,36.66666666666666,0,OP_001
SlidingWindowSymmetricKL,187,37254,37468,37467,2020-09-15 18:40:00,2020-09-17 06:10:00,214,35.666666666666664,0,OP_001
SlidingWindowSymmetricKL,188,37468,37686,37685,2020-09-17 06:20:00,2020-09-18 18:30:00,218,36.333333333333336,0,OP_001
SlidingWindowSymmetricKL,189,37686,37830,37829,2020-09-18 18:40:00,2020-09-19 18:30:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,190,37830,37974,37973,2020-09-19 18:40:00,2020-09-20 18:30:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,191,37974,38118,38117,2020-09-20 18:40:00,2020-09-21 18:30:00,144,24.0,0,OP_001
SlidingWindowSymmetricKL,192,38118,38405,38404,2020-09-21 18:40:00,2020-09-23 18:20:00,287,47.833333333333336,0,OP_001
SlidingWindowSymmetricKL,193,38405,38577,38576,2020-09-23 18:30:00,2020-09-24 23:00:00,172,28.666666666666668,0,OP_001
SlidingWindowSymmetricKL,194,38577,38745,38744,2020-09-24 23:10:00,2020-09-26 03:00:00,168,28.0,1,OP_002
SlidingWindowSymmetricKL,195,38745,38907,38906,2020-09-26 03:10:00,2020-09-27 06:00:00,162,27.0,1,OP_002
SlidingWindowSymmetricKL,196,38907,39078,39077,2020-09-27 06:10:00,2020-09-28 10:30:00,171,28.5,1,OP_002
SlidingWindowSymmetricKL,197,39078,39268,39267,2020-09-28 10:40:00,2020-09-29 18:10:00,190,31.666666666666668,0,OP_001
SlidingWindowSymmetricKL,198,39268,39509,39508,2020-09-29 18:20:00,2020-10-01 10:20:00,241,40.16666666666666,1,OP_002
SlidingWindowSymmetricKL,199,39509,39699,39698,2020-10-01 10:30:00,2020-10-02 18:00:00,190,31.666666666666668,0,OP_001
SlidingWindowSymmetricKL,200,39699,39916,39915,2020-10-02 18:10:00,2020-10-04 06:10:00,217,36.16666666666666,1,OP_002
SlidingWindowSymmetricKL,201,39916,40088,40087,2020-10-04 06:20:00,2020-10-05 10:50:00,172,28.666666666666668,0,OP_001
SlidingWindowSymmetricKL,202,40088,40350,40349,2020-10-05 11:00:00,2020-10-07 06:30:00,262,43.66666666666666,1,OP_002
SlidingWindowSymmetricKL,203,40350,40612,40611,2020-10-07 06:40:00,2020-10-09 02:10:00,262,43.66666666666666,1,OP_002
SlidingWindowSymmetricKL,204,40612,40782,40781,2020-10-09 02:20:00,2020-10-10 06:30:00,170,28.33333333333333,1,OP_002
SlidingWindowSymmetricKL,205,40782,40927,40926,2020-10-10 06:40:00,2020-10-11 06:40:00,145,24.166666666666668,1,OP_002
SlidingWindowSymmetricKL,206,40927,41139,41138,2020-10-11 06:50:00,2020-10-12 18:00:00,212,35.333333333333336,1,OP_002
SlidingWindowSymmetricKL,207,41139,41322,41321,2020-10-12 18:10:00,2020-10-14 00:30:00,183,30.5,1,OP_002
