method,segment_number,start_index,end_index_exclusive,end_index_inclusive,start_time,end_time,length_samples,length_hours,cluster,operation_id,pca_1,pca_2
PELT,17,3294,3666,3665,2020-01-23 21:10:00,2020-01-26 11:00:00,372,62.0,0,OP_001,-14.26982249554023,14.303217603102846
PELT,18,3666,3810,3809,2020-01-26 11:10:00,2020-01-27 11:00:00,144,24.0,0,OP_001,-14.600816307777608,5.399547009523459
PELT,19,3810,3984,3983,2020-01-27 11:10:00,2020-01-28 16:00:00,174,29.0,0,OP_001,-13.682714318979365,-6.814930194799971
PELT,20,3984,4194,4193,2020-01-28 16:10:00,2020-01-30 03:00:00,210,35.0,0,OP_001,-13.07432324259394,0.08698232865947966
PELT,21,4194,4338,4337,2020-01-30 03:10:00,2020-01-31 03:00:00,144,24.0,0,OP_001,-11.695007592048906,0.6918071273997234
PELT,22,4338,4548,4547,2020-01-31 03:10:00,2020-02-01 14:00:00,210,35.0,0,OP_001,-4.466380689686767,-3.591413664070945
PELT,23,4548,4722,4721,2020-02-01 14:10:00,2020-02-02 19:00:00,174,29.0,0,OP_001,-11.719053101238883,-10.368946530332943
PELT,24,4722,4890,4889,2020-02-02 19:10:00,2020-02-03 23:00:00,168,28.0,0,OP_001,-7.786294481580974,-6.131388925892527
PELT,25,4890,5046,5045,2020-02-03 23:10:00,2020-02-05 01:00:00,156,26.0,0,OP_001,-17.387699948818035,-9.95994074167782
PELT,26,5046,5532,5531,2020-02-05 01:10:00,2020-02-08 10:00:00,486,81.0,0,OP_001,-12.799101872478195,5.31243819405828
PELT,27,5532,5682,5681,2020-02-08 10:10:00,2020-02-09 11:00:00,150,25.0,0,OP_001,-6.25382138750098,4.544716799225472
PELT,28,5682,5826,5825,2020-02-09 11:10:00,2020-02-10 11:00:00,144,24.0,0,OP_001,-8.26362425764896,-10.278676546501272
PELT,29,5826,6006,6005,2020-02-10 11:10:00,2020-02-11 17:00:00,180,30.0,0,OP_001,-8.784668919924693,-7.668914092015288
PELT,30,6006,6156,6155,2020-02-11 17:10:00,2020-02-12 18:00:00,150,25.0,0,OP_001,-7.282150849486006,3.2551648853520976
PELT,31,6156,6384,6383,2020-02-12 18:10:00,2020-02-14 08:00:00,228,38.0,0,OP_001,-14.324013996617182,-1.9353417519735172
PELT,32,6384,6636,6635,2020-02-14 08:10:00,2020-02-16 02:00:00,252,42.0,0,OP_001,-7.518969702249783,7.98733687341716
PELT,33,6636,6780,6779,2020-02-16 02:10:00,2020-02-17 02:00:00,144,24.0,0,OP_001,-3.142658967058298,0.5010369112851485
PELT,34,6780,6960,6959,2020-02-17 02:10:00,2020-02-18 08:00:00,180,30.0,0,OP_001,-7.16315491097274,-2.019936529258083
PELT,35,6960,7110,7109,2020-02-18 08:10:00,2020-02-19 09:00:00,150,25.0,0,OP_001,-6.208974372388871,-0.230457421034702
PELT,36,7110,7254,7253,2020-02-19 09:10:00,2020-02-20 09:00:00,144,24.0,0,OP_001,-11.13615593086336,2.190732095331364
PELT,37,7254,7398,7397,2020-02-20 09:10:00,2020-02-21 09:00:00,144,24.0,0,OP_001,-12.8450036111098,-1.7540768880252295
PELT,38,7398,7542,7541,2020-02-21 09:10:00,2020-02-22 09:00:00,144,24.0,0,OP_001,-5.2600801144257865,-1.219681858736412
PELT,39,7542,7752,7751,2020-02-22 09:10:00,2020-02-23 20:00:00,210,35.0,0,OP_001,-9.00355218472791,-8.855870895388666
PELT,40,7752,7896,7895,2020-02-23 20:10:00,2020-02-24 20:00:00,144,24.0,0,OP_001,-13.39402770019168,-2.371546963026408
PELT,41,7896,8040,8039,2020-02-24 20:10:00,2020-02-25 20:00:00,144,24.0,0,OP_001,-9.48122831104084,-10.73447434850282
PELT,42,8040,8376,8375,2020-02-25 20:10:00,2020-02-28 04:00:00,336,56.0,0,OP_001,-11.643735526794242,-3.0171189395077125
PELT,43,8376,8556,8555,2020-02-28 04:10:00,2020-02-29 10:00:00,180,30.0,0,OP_001,-11.064274009662421,-1.8596308016143333
PELT,44,8556,8742,8741,2020-02-29 10:10:00,2020-03-01 17:00:00,186,31.0,0,OP_001,-2.9716932770836517,-4.157861694076847
PELT,45,8742,8886,8885,2020-03-01 17:10:00,2020-03-02 17:00:00,144,24.0,0,OP_001,-4.01985408683836,-3.4004448325352117
PELT,46,8886,9036,9035,2020-03-02 17:10:00,2020-03-03 18:00:00,150,25.0,0,OP_001,-8.896578263204022,-10.623717047983057
PELT,47,9036,9276,9275,2020-03-03 18:10:00,2020-03-05 10:00:00,240,40.0,0,OP_001,-8.492778098875863,9.919779277782343
PELT,48,9276,9456,9455,2020-03-05 10:10:00,2020-03-06 16:00:00,180,30.0,0,OP_001,-2.4165923728413095,-7.321805527860671
PELT,49,9456,9600,9599,2020-03-06 16:10:00,2020-03-07 16:00:00,144,24.0,0,OP_001,-12.503057734167147,-8.441087827473936
PELT,50,9600,9750,9749,2020-03-07 16:10:00,2020-03-08 17:00:00,150,25.0,0,OP_001,-6.628004365733825,13.433925929861733
PELT,51,9750,9960,9959,2020-03-08 17:10:00,2020-03-10 04:00:00,210,35.0,0,OP_001,-7.453331377621369,-2.2495445689503843
PELT,52,9960,10104,10103,2020-03-10 04:10:00,2020-03-11 04:00:00,144,24.0,0,OP_001,-11.412625616760762,-5.652217481766241
PELT,53,10104,10248,10247,2020-03-11 04:10:00,2020-03-12 04:00:00,144,24.0,0,OP_001,-12.544407867297343,-10.552238432588865
PELT,54,10248,10482,10481,2020-03-12 04:10:00,2020-03-13 19:00:00,234,39.0,0,OP_001,-3.1005802112552314,-0.41246773410812293
PELT,55,10482,10710,10709,2020-03-13 19:10:00,2020-03-15 09:00:00,228,38.0,0,OP_001,-5.623102539168849,3.9335832810212437
PELT,56,10710,10920,10919,2020-03-15 09:10:00,2020-03-16 20:00:00,210,35.0,1,OP_002,1.590631960359264,10.276838362170835
PELT,57,10920,11148,11147,2020-03-16 20:10:00,2020-03-18 10:00:00,228,38.0,0,OP_001,-7.0440844306734,6.519247570134493
PELT,58,11148,11304,11303,2020-03-18 10:10:00,2020-03-19 12:00:00,156,26.0,1,OP_002,4.95400298403842,11.47881986402238
PELT,59,11304,11448,11447,2020-03-19 12:10:00,2020-03-20 12:00:00,144,24.0,1,OP_002,3.718112090627543,0.6082875848550028
PELT,60,11448,11592,11591,2020-03-20 12:10:00,2020-03-21 12:00:00,144,24.0,0,OP_001,-14.66680909965782,-3.8694947892032534
PELT,61,11592,11784,11783,2020-03-21 12:10:00,2020-03-22 20:00:00,192,32.0,0,OP_001,-6.231667199501203,6.021471338915695
PELT,62,11784,12156,12155,2020-03-22 20:10:00,2020-03-25 10:00:00,372,62.0,0,OP_001,-0.45665073581418725,12.712011551021126
PELT,63,12156,12300,12299,2020-03-25 10:10:00,2020-03-26 10:00:00,144,24.0,0,OP_001,-0.2602003066907296,11.391362671114466
PELT,64,12300,12510,12509,2020-03-26 10:10:00,2020-03-27 21:00:00,210,35.0,0,OP_001,-0.8911558946100075,14.203620402406669
PELT,65,12510,12678,12677,2020-03-27 21:10:00,2020-03-29 01:00:00,168,28.0,1,OP_002,1.2502560468957364,10.781744167886636
PELT,66,12678,12822,12821,2020-03-29 01:10:00,2020-03-30 01:00:00,144,24.0,0,OP_001,-13.819350779507134,-1.3857246278988493
PELT,67,12822,12966,12965,2020-03-30 01:10:00,2020-03-31 01:00:00,144,24.0,0,OP_001,-1.2522767889176085,8.0092249371889
PELT,68,12966,13152,13151,2020-03-31 01:10:00,2020-04-01 08:00:00,186,31.0,0,OP_001,-3.3953571985190103,9.675751946843887
PELT,69,13152,13350,13349,2020-04-01 08:10:00,2020-04-02 17:00:00,198,33.0,1,OP_002,2.7809994595866856,17.97891994328764
PELT,70,13350,13572,13571,2020-04-02 17:10:00,2020-04-04 06:00:00,222,37.0,0,OP_001,-7.542188842111811,-0.3289945243627126
PELT,71,13572,13734,13733,2020-04-04 06:10:00,2020-04-05 09:00:00,162,27.0,1,OP_002,0.4984584367810049,14.42246625575387
PELT,72,13734,13956,13955,2020-04-05 09:10:00,2020-04-06 22:00:00,222,37.0,1,OP_002,6.8093919346225755,15.122312455942984
PELT,73,13956,14172,14171,2020-04-06 22:10:00,2020-04-08 10:00:00,216,36.0,1,OP_002,4.044170193329676,12.014951620345814
PELT,74,14172,14316,14315,2020-04-08 10:10:00,2020-04-09 10:00:00,144,24.0,1,OP_002,11.830334393848938,12.728408242707605
PELT,75,14316,14520,14519,2020-04-09 10:10:00,2020-04-10 20:00:00,204,34.0,1,OP_002,7.748453844010858,12.155194486441683
PELT,76,14520,14742,14741,2020-04-10 20:10:00,2020-04-12 09:00:00,222,37.0,1,OP_002,3.1167309497163007,14.28565702564509
PELT,77,14742,14892,14891,2020-04-12 09:10:00,2020-04-13 10:00:00,150,25.0,1,OP_002,10.436220546560026,2.2423397016320616
PELT,78,14892,15174,15173,2020-04-13 10:10:00,2020-04-15 09:00:00,282,47.0,0,OP_001,-2.026290302679617,6.485023991428902
PELT,79,15174,15318,15317,2020-04-15 09:10:00,2020-04-16 09:00:00,144,24.0,1,OP_002,4.884590786252361,9.932392070507063
PELT,80,15318,15522,15521,2020-04-16 09:10:00,2020-04-17 19:00:00,204,34.0,1,OP_002,9.498236518200454,9.985146201931718
PELT,81,15522,15744,15743,2020-04-17 19:10:00,2020-04-19 08:00:00,222,37.0,1,OP_002,3.9288652601799168,7.497389846091921
PELT,82,15744,15894,15893,2020-04-19 08:10:00,2020-04-20 09:00:00,150,25.0,1,OP_002,1.053787389164651,11.870348237159655
PELT,83,15894,16092,16091,2020-04-20 09:10:00,2020-04-21 18:00:00,198,33.0,1,OP_002,4.104541778755928,10.45819323503044
PELT,84,16092,16260,16259,2020-04-21 18:10:00,2020-04-22 22:00:00,168,28.0,1,OP_002,1.6639856783396632,12.696524899292202
PELT,85,16260,16410,16409,2020-04-22 22:10:00,2020-04-23 23:00:00,150,25.0,1,OP_002,6.236683885827811,12.883445370909282
PELT,86,16410,16566,16565,2020-04-23 23:10:00,2020-04-25 01:00:00,156,26.0,1,OP_002,5.999896134497316,13.025716905637662
PELT,87,16566,16752,16751,2020-04-25 01:10:00,2020-04-26 08:00:00,186,31.0,0,OP_001,-0.7715220309283872,8.7602759028989
PELT,88,16752,16902,16901,2020-04-26 08:10:00,2020-04-27 09:00:00,150,25.0,1,OP_002,9.721825539102527,10.818250246845976
PELT,89,16902,17082,17081,2020-04-27 09:10:00,2020-04-28 15:00:00,180,30.0,1,OP_002,13.548984349007963,5.975892972862798
PELT,90,17082,17328,17327,2020-04-28 15:10:00,2020-04-30 08:00:00,246,41.0,1,OP_002,4.845699019874124,-4.323184866701612
PELT,91,17328,17538,17537,2020-04-30 08:10:00,2020-05-01 19:00:00,210,35.0,1,OP_002,2.663700738022986,-4.2674531471509445
PELT,92,17538,17712,17711,2020-05-01 19:10:00,2020-05-03 00:00:00,174,29.0,0,OP_001,-6.200243759695294,-4.003847524511134
PELT,93,17712,17856,17855,2020-05-03 00:10:00,2020-05-04 00:00:00,144,24.0,1,OP_002,2.461671448670444,-2.515886102934803
PELT,94,17856,18054,18053,2020-05-04 00:10:00,2020-05-05 09:00:00,198,33.0,0,OP_001,-4.816925467635519,7.448321627613582
PELT,95,18054,18234,18233,2020-05-05 09:10:00,2020-05-06 15:00:00,180,30.0,1,OP_002,7.492047085180724,13.055444089288404
PELT,96,18234,18480,18479,2020-05-06 15:10:00,2020-05-08 08:00:00,246,41.0,1,OP_002,10.053860412993147,6.061944903373132
PELT,97,18480,18696,18695,2020-05-08 08:10:00,2020-05-09 20:00:00,216,36.0,1,OP_002,10.91005953299694,11.652913167343584
PELT,98,18696,18882,18881,2020-05-09 20:10:00,2020-05-11 03:00:00,186,31.0,1,OP_002,6.104183800072184,-1.4874294054113573
PELT,99,18882,19026,19025,2020-05-11 03:10:00,2020-05-12 03:00:00,144,24.0,0,OP_001,-12.401105731496362,1.3399551421941143
PELT,100,19026,19236,19235,2020-05-12 03:10:00,2020-05-13 14:00:00,210,35.0,1,OP_002,6.072883255882767,11.251630329014654
PELT,101,19236,19482,19481,2020-05-13 14:10:00,2020-05-15 07:00:00,246,41.0,0,OP_001,-0.656810703150309,5.6652975023739085
PELT,102,19482,19698,19697,2020-05-15 07:10:00,2020-05-16 19:00:00,216,36.0,1,OP_002,8.52880673846317,12.995141019339089
PELT,103,19698,19920,19919,2020-05-16 19:10:00,2020-05-18 08:00:00,222,37.0,1,OP_002,4.66245261747619,10.26105061912027
PELT,104,19920,20124,20123,2020-05-18 08:10:00,2020-05-19 18:00:00,204,34.0,1,OP_002,12.797343564877401,6.485431709534478
PELT,105,20124,20346,20345,2020-05-19 18:10:00,2020-05-21 07:00:00,222,37.0,0,OP_001,-2.1352130877690527,-0.2567127078426737
PELT,106,20346,20520,20519,2020-05-21 07:10:00,2020-05-22 12:00:00,174,29.0,1,OP_002,11.805928956979924,12.90686902598216
PELT,107,20520,20664,20663,2020-05-22 12:10:00,2020-05-23 12:00:00,144,24.0,1,OP_002,5.062666247815225,-10.565512780914219
PELT,108,20664,20976,20975,2020-05-23 12:10:00,2020-05-25 16:00:00,312,52.0,1,OP_002,6.831787147921003,-3.5188407490433815
PELT,109,20976,21210,21209,2020-05-25 16:10:00,2020-05-27 07:00:00,234,39.0,1,OP_002,3.4717736193402464,7.379272435343624
PELT,110,21210,21354,21353,2020-05-27 07:10:00,2020-05-28 07:00:00,144,24.0,1,OP_002,12.632212055306663,-5.370948505437964
PELT,111,21354,21546,21545,2020-05-28 07:10:00,2020-05-29 16:30:00,192,32.0,1,OP_002,12.925353408972144,4.039602446599374
PELT,112,21546,21702,21701,2020-05-29 16:40:00,2020-05-30 18:30:00,156,26.0,1,OP_002,7.086630528385784,-2.2808263492495713
PELT,113,21702,21924,21923,2020-05-30 18:40:00,2020-06-01 07:30:00,222,37.0,1,OP_002,4.1394020326783965,6.817956399516244
PELT,114,21924,22122,22121,2020-06-01 07:40:00,2020-06-02 16:30:00,198,33.0,1,OP_002,16.006138134314618,8.076281986379044
PELT,115,22122,22266,22265,2020-06-02 16:40:00,2020-06-03 16:30:00,144,24.0,1,OP_002,12.092186005389722,-3.098681882408597
PELT,116,22266,22506,22505,2020-06-03 16:40:00,2020-06-05 08:30:00,240,40.0,0,OP_001,-1.724816492931069,-4.76847182625602
PELT,117,22506,22698,22697,2020-06-05 08:40:00,2020-06-06 16:30:00,192,32.0,1,OP_002,5.589639933759567,-2.1118680376230903
PELT,118,22698,22932,22931,2020-06-06 16:40:00,2020-06-08 07:30:00,234,39.0,1,OP_002,2.994634448946147,-4.993559893548667
PELT,119,22932,23124,23123,2020-06-08 07:40:00,2020-06-09 15:30:00,192,32.0,1,OP_002,12.35175406461417,2.5771689954597745
PELT,120,23124,23322,23321,2020-06-09 15:40:00,2020-06-11 00:30:00,198,33.0,1,OP_002,3.0593126192692077,-12.353042042055037
PELT,121,23322,23508,23507,2020-06-11 00:40:00,2020-06-12 07:30:00,186,31.0,0,OP_001,-4.257397550657681,-5.884631678547895
PELT,122,23508,23718,23717,2020-06-12 07:40:00,2020-06-13 18:30:00,210,35.0,1,OP_002,23.259492638455168,-4.850474189718578
PELT,123,23718,23874,23873,2020-06-13 18:40:00,2020-06-14 20:30:00,156,26.0,0,OP_001,0.48466113821760676,-15.748922250285807
PELT,124,23874,24072,24071,2020-06-14 20:40:00,2020-06-16 05:30:00,198,33.0,1,OP_002,4.531550707456175,-8.216981916716318
PELT,125,24072,24216,24215,2020-06-16 05:40:00,2020-06-17 05:30:00,144,24.0,1,OP_002,13.221596503110055,-11.413139828808196
PELT,126,24216,24360,24359,2020-06-17 05:40:00,2020-06-18 05:30:00,144,24.0,1,OP_002,19.571945114845466,-4.3365411658442605
PELT,127,24360,24510,24509,2020-06-18 05:40:00,2020-06-19 06:30:00,150,25.0,0,OP_001,-5.234710461892464,-8.29546336291147
PELT,128,24510,24684,24683,2020-06-19 06:40:00,2020-06-20 11:30:00,174,29.0,1,OP_002,13.72424064617882,-6.927023555888732
PELT,129,24684,24894,24893,2020-06-20 11:40:00,2020-06-21 22:30:00,210,35.0,1,OP_002,14.22542267834273,-5.8551419802372715
PELT,130,24894,25098,25097,2020-06-21 22:40:00,2020-06-23 08:30:00,204,34.0,1,OP_002,10.94438941502788,6.875379150824798
PELT,131,25098,25302,25301,2020-06-23 08:40:00,2020-06-24 18:30:00,204,34.0,1,OP_002,17.381549546303237,7.604287929087084
PELT,132,25302,25524,25523,2020-06-24 18:40:00,2020-06-26 07:30:00,222,37.0,1,OP_002,13.487478730683122,-3.3660067609631965
PELT,133,25524,25716,25715,2020-06-26 07:40:00,2020-06-27 15:30:00,192,32.0,1,OP_002,21.73636043937717,0.6857540047604399
PELT,134,25716,25860,25859,2020-06-27 15:40:00,2020-06-28 15:30:00,144,24.0,1,OP_002,12.000556159364026,-11.179492607013765
PELT,135,25860,26094,26093,2020-06-28 15:40:00,2020-06-30 06:30:00,234,39.0,1,OP_002,9.972122876656705,-5.533601883068518
PELT,136,26094,26298,26297,2020-06-30 06:40:00,2020-07-01 16:30:00,204,34.0,1,OP_002,16.121009425973114,0.7532737076858884
PELT,137,26298,26454,26453,2020-07-01 16:40:00,2020-07-02 18:30:00,156,26.0,1,OP_002,16.681603007635914,-14.415852133235633
PELT,138,26454,26670,26669,2020-07-02 18:40:00,2020-07-04 06:30:00,216,36.0,1,OP_002,11.71469268348134,-6.58377376637482
PELT,139,26670,26814,26813,2020-07-04 06:40:00,2020-07-05 06:30:00,144,24.0,1,OP_002,15.779862775215458,-6.712692228321168
PELT,140,26814,26958,26957,2020-07-05 06:40:00,2020-07-06 06:30:00,144,24.0,1,OP_002,10.70594475543493,-4.267272306489266
PELT,141,26958,27204,27203,2020-07-06 06:40:00,2020-07-07 23:30:00,246,41.0,1,OP_002,14.541478347712136,-3.285779406112113
PELT,142,27204,27408,27407,2020-07-07 23:40:00,2020-07-09 09:30:00,204,34.0,0,OP_001,-0.8398716465526329,-5.1540095874836185
PELT,143,27408,27606,27605,2020-07-09 09:40:00,2020-07-10 18:30:00,198,33.0,1,OP_002,17.946367657774722,-9.621660631288925
PELT,144,27606,27828,27827,2020-07-10 18:40:00,2020-07-12 07:30:00,222,37.0,1,OP_002,8.302664839106136,-1.876860604544073
PELT,145,27828,28020,28019,2020-07-12 07:40:00,2020-07-13 15:30:00,192,32.0,1,OP_002,18.847577776649523,6.299712990440946
PELT,146,28020,28218,28217,2020-07-13 15:40:00,2020-07-15 00:30:00,198,33.0,1,OP_002,15.769462177622765,-0.14426996964705707
PELT,147,28218,28362,28361,2020-07-15 00:40:00,2020-07-16 00:30:00,144,24.0,0,OP_001,-0.5051113124485271,-9.49385199472836
PELT,148,28362,28554,28553,2020-07-16 00:40:00,2020-07-17 08:30:00,192,32.0,1,OP_002,9.602250847721123,-2.484004191888621
PELT,149,28554,28698,28697,2020-07-17 08:40:00,2020-07-18 08:30:00,144,24.0,1,OP_002,13.84188013944391,-2.697362645670548
PELT,150,28698,28926,28925,2020-07-18 08:40:00,2020-07-19 22:30:00,228,38.0,1,OP_002,18.763427302461942,1.7177721546722542
PELT,151,28926,29124,29123,2020-07-19 22:40:00,2020-07-21 07:30:00,198,33.0,1,OP_002,7.761108583239547,0.012482979468326223
PELT,152,29124,29334,29333,2020-07-21 07:40:00,2020-07-22 18:30:00,210,35.0,1,OP_002,17.47659555104263,5.404911931511675
PELT,153,29334,29562,29561,2020-07-22 18:40:00,2020-07-24 08:30:00,228,38.0,1,OP_002,12.40953390651286,0.27314275169652197
PELT,154,29562,29790,29789,2020-07-24 08:40:00,2020-07-25 22:30:00,228,38.0,1,OP_002,19.722942687959044,-4.370862044777805
PELT,155,29790,29994,29993,2020-07-25 22:40:00,2020-07-27 08:30:00,204,34.0,1,OP_002,10.350806753784138,-5.710326645886843
PELT,156,29994,30210,30209,2020-07-27 08:40:00,2020-07-28 20:30:00,216,36.0,1,OP_002,17.888445479849597,-8.474583513829979
PELT,157,30210,30354,30353,2020-07-28 20:40:00,2020-07-29 20:30:00,144,24.0,1,OP_002,12.788486697382897,-4.848238240903667
PELT,158,30354,30570,30569,2020-07-29 20:40:00,2020-07-31 08:30:00,216,36.0,1,OP_002,14.883386691276776,3.5675349716102542
PELT,159,30570,30786,30785,2020-07-31 08:40:00,2020-08-01 20:30:00,216,36.0,1,OP_002,22.751382024012496,3.4175786837018736
PELT,160,30786,30996,30995,2020-08-01 20:40:00,2020-08-03 07:30:00,210,35.0,1,OP_002,5.695505844603169,-11.968636125587679
PELT,161,30996,31296,31295,2020-08-03 07:40:00,2020-08-05 09:30:00,300,50.0,1,OP_002,10.331772673287647,2.206771070679041
PELT,162,31296,31530,31529,2020-08-05 09:40:00,2020-08-07 00:30:00,234,39.0,1,OP_002,21.225338808817526,1.3517341836076184
PELT,163,31530,31728,31727,2020-08-07 00:40:00,2020-08-08 09:30:00,198,33.0,1,OP_002,19.797111777101502,3.661324076281583
PELT,164,31728,31938,31937,2020-08-08 09:40:00,2020-08-09 20:30:00,210,35.0,1,OP_002,27.443626225759292,-1.988003410807351
PELT,165,31938,32154,32153,2020-08-09 20:40:00,2020-08-11 08:30:00,216,36.0,1,OP_002,10.19245406915365,-11.923356555842227
PELT,166,32154,32346,32345,2020-08-11 08:40:00,2020-08-12 16:30:00,192,32.0,1,OP_002,26.69839239346682,-1.8693930838336978
PELT,167,32346,32526,32525,2020-08-12 16:40:00,2020-08-13 22:30:00,180,30.0,1,OP_002,18.125293647775326,-9.681498640143362
PELT,168,32526,32682,32681,2020-08-13 22:40:00,2020-08-15 00:30:00,156,26.0,1,OP_002,8.785931572195276,-9.888957042341824
PELT,169,32682,32880,32879,2020-08-15 00:40:00,2020-08-16 09:30:00,198,33.0,1,OP_002,4.160977463255704,-10.045413932548822
PELT,170,32880,33054,33053,2020-08-16 09:40:00,2020-08-17 14:30:00,174,29.0,1,OP_002,18.815496234788082,-3.6428417509327513
PELT,171,33054,33306,33305,2020-08-17 14:40:00,2020-08-19 08:30:00,252,42.0,1,OP_002,10.345667519538113,-7.180152564519918
PELT,172,33306,33456,33455,2020-08-19 08:40:00,2020-08-20 09:30:00,150,25.0,1,OP_002,17.30705557797943,-3.127179440122971
PELT,173,33456,33672,33671,2020-08-20 09:40:00,2020-08-21 21:30:00,216,36.0,1,OP_002,27.005549134569286,-7.057003438734331
PELT,174,33672,33816,33815,2020-08-21 21:40:00,2020-08-22 21:30:00,144,24.0,1,OP_002,9.99471377911939,-20.51956431596685
PELT,175,33816,33960,33959,2020-08-22 21:40:00,2020-08-23 21:30:00,144,24.0,1,OP_002,12.090188175029233,-9.057640829008477
PELT,176,33960,34176,34175,2020-08-23 21:40:00,2020-08-25 09:30:00,216,36.0,1,OP_002,10.028110959239688,0.9463113785337179
PELT,177,34176,34398,34397,2020-08-25 09:40:00,2020-08-26 22:30:00,222,37.0,1,OP_002,8.495218768079653,-12.051472455080683
PELT,178,34398,34596,34595,2020-08-26 22:40:00,2020-08-28 07:30:00,198,33.0,1,OP_002,5.7276385497533,-9.188803634744364
PELT,179,34596,34770,34769,2020-08-28 07:40:00,2020-08-29 12:30:00,174,29.0,1,OP_002,10.553549623590106,-6.5166397776893765
PELT,180,34770,34914,34913,2020-08-29 12:40:00,2020-08-30 12:30:00,144,24.0,1,OP_002,12.146037663539122,-6.876346629102346
PELT,181,34914,35058,35057,2020-08-30 12:40:00,2020-08-31 12:30:00,144,24.0,0,OP_001,-5.187101463684915,-15.972001050442485
PELT,182,35058,35262,35261,2020-08-31 12:40:00,2020-09-01 22:30:00,204,34.0,0,OP_001,0.8730412208198477,-8.216145522666269
PELT,183,35262,35472,35471,2020-09-01 22:40:00,2020-09-03 09:30:00,210,35.0,1,OP_002,7.490267893597735,2.6978315517654443
PELT,184,35472,35688,35687,2020-09-03 09:40:00,2020-09-04 21:30:00,216,36.0,1,OP_002,11.347115696448379,-5.794238483141547
PELT,185,35688,35892,35891,2020-09-04 21:40:00,2020-09-06 07:30:00,204,34.0,0,OP_001,-0.869981117976504,-4.7027194441787605
PELT,186,35892,36192,36191,2020-09-06 07:40:00,2020-09-08 09:30:00,300,50.0,1,OP_002,11.13971230848893,2.576274052129586
PELT,187,36192,36384,36383,2020-09-08 09:40:00,2020-09-09 17:30:00,192,32.0,1,OP_002,18.077861676195603,2.5945372028458737
PELT,188,36384,36546,36545,2020-09-09 17:40:00,2020-09-10 20:30:00,162,27.0,1,OP_002,6.8011310007870165,-12.235855148083754
PELT,189,36546,36768,36767,2020-09-10 20:40:00,2020-09-12 09:30:00,222,37.0,1,OP_002,6.682621702214127,7.444760131086669
PELT,190,36768,36972,36971,2020-09-12 09:40:00,2020-09-13 19:30:00,204,34.0,1,OP_002,13.99007216106446,3.5473597077798797
PELT,191,36972,37200,37199,2020-09-13 19:40:00,2020-09-15 09:30:00,228,38.0,1,OP_002,11.934083267042482,2.8020616781850203
PELT,192,37200,37416,37415,2020-09-15 09:40:00,2020-09-16 21:30:00,216,36.0,1,OP_002,19.654626274863595,1.010540324167373
PELT,193,37416,37560,37559,2020-09-16 21:40:00,2020-09-17 21:30:00,144,24.0,0,OP_001,-1.190445387636164,-11.080586508372276
PELT,194,37560,37782,37781,2020-09-17 21:40:00,2020-09-19 10:30:00,222,37.0,1,OP_002,6.903541092744415,10.151706270902949
