feature1,feature2,r,abs_r,exact_equal
VPact_mbar__q25,sh_g_kg__median,0.989545611520503,0.989545611520503,False
H2OC_mmol_mol__median,VPact_mbar__q25,0.989544873156313,0.989544873156313,False
H2OC_mmol_mol__q25,VPact_mbar__median,0.989411691146734,0.989411691146734,False
VPact_mbar__median,sh_g_kg__q25,0.989375454838565,0.989375454838565,False
Tdew_degC__median,Tdew_degC__q75,0.989322276522346,0.989322276522346,False
max_wv_m_s__mean,max_wv_m_s__median,0.989086832565863,0.989086832565863,False
p_mbar__median,p_mbar__q75,0.988987024953375,0.988987024953375,False
T_degC__median,Tpot_K__mean,0.988956888475812,0.988956888475812,False
T_degC__median,Tlog_degC__median,0.988788338204557,0.988788338204557,False
rho_g_m_3__mean,rho_g_m_3__q25,0.988572049979487,0.988572049979487,False
Tdew_degC__skew,H2OC_mmol_mol__skew,0.988513451951794,0.988513451951794,False
wv_m_s__mean,wv_m_s__median,0.98842562193172,0.98842562193172,False
Tdew_degC__skew,sh_g_kg__skew,0.988364160390523,0.988364160390523,False
T_degC__mean,T_degC__q75,0.988068609451807,0.988068609451807,False
Tlog_degC__mean,Tlog_degC__q75,0.987850728535828,0.987850728535828,False
T_degC__mean,Tlog_degC__mean,0.987846967957339,0.987846967957339,False
p_mbar__median,p_mbar__q25,0.987774061791999,0.987774061791999,False
rho_g_m_3__median,rho_g_m_3__q25,0.987772698058025,0.987772698058025,False
Tpot_K__mean,Tpot_K__q75,0.987769847618798,0.987769847618798,False
T_degC__mean,Tpot_K__q75,0.987554398943233,0.987554398943233,False
VPdef_mbar__mean,VPdef_mbar__q75,0.987485346372827,0.987485346372827,False
rh__mean,rh__median,0.987480531109296,0.987480531109296,False
SWDR_W_m__mean,PAR_mol_m_s__q75,0.987197397761428,0.987197397761428,False
rho_g_m_3__mean,rho_g_m_3__q75,0.986473560704241,0.986473560704241,False
T_degC__q75,Tlog_degC__q75,0.986181369084341,0.986181369084341,False
VPmax_mbar__skew,T_degC__skew,0.986123633387024,0.986123633387024,False
T_degC__q75,Tlog_degC__mean,0.985952236791932,0.985952236791932,False
PAR_mol_m_s__mean,PAR_mol_m_s__q75,0.985949831288434,0.985949831288434,False
Tpot_K__median,Tpot_K__q75,0.985748360950479,0.985748360950479,False
T_degC__median,T_degC__q75,0.985733557201038,0.985733557201038,False
p_mbar__min,p_mbar__q25,0.985708586840843,0.985708586840843,False
Tdew_degC__min,Tdew_degC__q25,0.985595307366918,0.985595307366918,False
max_wv_m_s__mean,wv_m_s__mean,0.985515769355477,0.985515769355477,False
SWDR_W_m__mean,SWDR_W_m__q75,0.985336025613857,0.985336025613857,False
T_degC__q25,Tlog_degC__q25,0.985278572426061,0.985278572426061,False
H2OC_mmol_mol__min,sh_g_kg__q25,0.984957734522559,0.984957734522559,False
H2OC_mmol_mol__min,H2OC_mmol_mol__q25,0.984951647234114,0.984951647234114,False
VPact_mbar__min,VPact_mbar__q25,0.98493141127755,0.98493141127755,False
sh_g_kg__min,sh_g_kg__q25,0.984911736055487,0.984911736055487,False
H2OC_mmol_mol__q25,sh_g_kg__min,0.984902537636422,0.984902537636422,False
p_mbar__max,p_mbar__q75,0.984842251567912,0.984842251567912,False
H2OC_mmol_mol__min,VPact_mbar__q25,0.984803379086121,0.984803379086121,False
Tpot_K__diff_std,rho_g_m_3__diff_std,0.984777290169719,0.984777290169719,False
VPact_mbar__min,sh_g_kg__q25,0.984758657331911,0.984758657331911,False
VPact_mbar__q25,sh_g_kg__min,0.984755048776042,0.984755048776042,False
H2OC_mmol_mol__q25,VPact_mbar__min,0.984752284924381,0.984752284924381,False
wv_m_s__mean,wv_m_s__q75,0.984673427701381,0.984673427701381,False
T_degC__median,Tpot_K__q75,0.984513088017584,0.984513088017584,False
max_PAR_mol_m_s__mean,max_PAR_mol_m_s__q75,0.984485764369871,0.984485764369871,False
T_degC__median,Tlog_degC__mean,0.984336494677457,0.984336494677457,False
T_degC__diff_std,rho_g_m_3__diff_std,0.984118004852699,0.984118004852699,False
VPmax_mbar__max,VPmax_mbar__q75,0.983991615026072,0.983991615026072,False
Tdew_degC__max,VPact_mbar__max,0.983859796970066,0.983859796970066,False
T_degC__mean,Tlog_degC__median,0.983833227555335,0.983833227555335,False
T_degC__max,T_degC__q75,0.983757934063462,0.983757934063462,False
Tdew_degC__max,H2OC_mmol_mol__max,0.983739397097151,0.983739397097151,False
VPdef_mbar__mean,VPdef_mbar__median,0.983718330762857,0.983718330762857,False
VPmax_mbar__median,VPmax_mbar__q75,0.983558711075332,0.983558711075332,False
Tdew_degC__max,sh_g_kg__max,0.983423439349324,0.983423439349324,False
Tpot_K__max,Tpot_K__q75,0.9831588294949,0.9831588294949,False
H2OC_mmol_mol__zero_crossing_rate,sh_g_kg__zero_crossing_rate,0.982979980755281,0.982979980755281,False
rho_g_m_3__min,rho_g_m_3__q25,0.982889898754912,0.982889898754912,False
T_degC__q75,Tpot_K__max,0.982853932231391,0.982853932231391,False
max_wv_m_s__mean,max_wv_m_s__q75,0.982816520598774,0.982816520598774,False
max_wv_m_s__median,wv_m_s__median,0.982744755132671,0.982744755132671,False
SWDR_W_m__q75,PAR_mol_m_s__mean,0.982723554901998,0.982723554901998,False
T_degC__mean,T_degC__q25,0.982388128294522,0.982388128294522,False
T_degC__q25,Tpot_K__mean,0.982362814788846,0.982362814788846,False
Tpot_K__mean,Tpot_K__q25,0.982360277093722,0.982360277093722,False
Tdew_degC__q75,VPact_mbar__q75,0.982203477318298,0.982203477318298,False
VPmax_mbar__q25,T_degC__q25,0.982052122129349,0.982052122129349,False
Tdew_degC__q75,H2OC_mmol_mol__q75,0.982020742318156,0.982020742318156,False
VPmax_mbar__min,T_degC__min,0.981924329013093,0.981924329013093,False
Tdew_degC__q75,sh_g_kg__q75,0.981695633372967,0.981695633372967,False
T_degC__max,Tlog_degC__max,0.981493561579177,0.981493561579177,False
SWDR_W_m__q25,PAR_mol_m_s__q25,0.981462580814865,0.981462580814865,False
max_PAR_mol_m_s__slope,PAR_mol_m_s__slope,0.981334695259705,0.981334695259705,False
Tpot_K__q75,Tlog_degC__mean,0.981060989940111,0.981060989940111,False
Tdew_degC__mean,Tdew_degC__min,0.980718015375546,0.980718015375546,False
T_degC__min,Tlog_degC__min,0.980570372944859,0.980570372944859,False
rho_g_m_3__max,rho_g_m_3__q75,0.980523136782142,0.980523136782142,False
T_degC__q75,Tlog_degC__median,0.980396463057557,0.980396463057557,False
Tdew_degC__mean,VPact_mbar__mean,0.980392464510635,0.980392464510635,False
H2OC_mmol_mol__min,sh_g_kg__mean,0.980342345718563,0.980342345718563,False
VPact_mbar__mean,VPact_mbar__min,0.980312343518517,0.980312343518517,False
H2OC_mmol_mol__mean,H2OC_mmol_mol__min,0.980310299321135,0.980310299321135,False
Tdew_degC__mean,H2OC_mmol_mol__mean,0.980280551066946,0.980280551066946,False
sh_g_kg__mean,sh_g_kg__min,0.980259546989361,0.980259546989361,False
H2OC_mmol_mol__mean,sh_g_kg__min,0.980224697154956,0.980224697154956,False
T_degC__mean,Tlog_degC__q25,0.98017755378428,0.98017755378428,False
VPact_mbar__min,sh_g_kg__mean,0.980170576276936,0.980170576276936,False
max_wv_m_s__q25,wv_m_s__q25,0.980159694561533,0.980159694561533,False
H2OC_mmol_mol__min,VPact_mbar__mean,0.980149930593725,0.980149930593725,False
H2OC_mmol_mol__mean,VPact_mbar__min,0.980138692048855,0.980138692048855,False
VPact_mbar__mean,sh_g_kg__min,0.980065675148036,0.980065675148036,False
Tdew_degC__mean,sh_g_kg__mean,0.979948014727667,0.979948014727667,False
max_PAR_mol_m_s__mean,PAR_mol_m_s__mean,0.97994673279719,0.97994673279719,False
Tpot_K__median,Tlog_degC__median,0.979793812103314,0.979793812103314,False
rho_g_m_3__median,rho_g_m_3__q75,0.979632710347468,0.979632710347468,False
VPact_mbar__max,VPact_mbar__q75,0.979505502685188,0.979505502685188,False
H2OC_mmol_mol__q75,sh_g_kg__max,0.97942084812844,0.97942084812844,False
Tdew_degC__median,VPact_mbar__median,0.979411303015511,0.979411303015511,False
sh_g_kg__max,sh_g_kg__q75,0.979384345395043,0.979384345395043,False
H2OC_mmol_mol__max,H2OC_mmol_mol__q75,0.979382407438501,0.979382407438501,False
Tlog_degC__mean,Tlog_degC__q25,0.9793622358506,0.9793622358506,False
H2OC_mmol_mol__max,sh_g_kg__q75,0.979342675904405,0.979342675904405,False
H2OC_mmol_mol__q75,VPact_mbar__max,0.979331569693393,0.979331569693393,False
VPact_mbar__max,sh_g_kg__q75,0.97929285598439,0.97929285598439,False
Tdew_degC__median,H2OC_mmol_mol__median,0.979263796390116,0.979263796390116,False
Tlog_degC__median,Tlog_degC__q75,0.979215661156132,0.979215661156132,False
VPact_mbar__q75,sh_g_kg__max,0.979186215074705,0.979186215074705,False
H2OC_mmol_mol__max,VPact_mbar__q75,0.979147244136749,0.979147244136749,False
max_wv_m_s__q75,wv_m_s__q75,0.979098588845433,0.979098588845433,False
SWDR_W_m__slope,max_PAR_mol_m_s__slope,0.97901020479988,0.97901020479988,False
Tdew_degC__median,sh_g_kg__median,0.978902262220903,0.978902262220903,False
Tdew_degC__mean,VPact_mbar__median,0.97877141355693,0.97877141355693,False
Tdew_degC__mean,H2OC_mmol_mol__median,0.9786614667187,0.9786614667187,False
T_degC__max,Tlog_degC__q75,0.978605578201008,0.978605578201008,False
Tdew_degC__mean,sh_g_kg__median,0.978305662712766,0.978305662712766,False
T_degC__q75,Tpot_K__mean,0.978107934011429,0.978107934011429,False
Tdew_degC__q25,VPact_mbar__q25,0.978005383073971,0.978005383073971,False
VPmax_mbar__mean,T_degC__mean,0.977994651327304,0.977994651327304,False
Tdew_degC__q25,H2OC_mmol_mol__q25,0.977862493135616,0.977862493135616,False
Tpot_K__mean,Tlog_degC__mean,0.977694136108047,0.977694136108047,False
Tpot_K__q75,Tlog_degC__q75,0.977570374806186,0.977570374806186,False
max_PAR_mol_m_s__q75,PAR_mol_m_s__mean,0.977539866899255,0.977539866899255,False
Tdew_degC__q25,sh_g_kg__q25,0.977480329855002,0.977480329855002,False
VPdef_mbar__std,VPdef_mbar__max,0.977411273538995,0.977411273538995,False
VPmax_mbar__mean,T_degC__median,0.977330260587184,0.977330260587184,False
Tdew_degC__median,VPact_mbar__mean,0.977151019699189,0.977151019699189,False
SWDR_W_m__mean,max_PAR_mol_m_s__mean,0.977092227061674,0.977092227061674,False
Tlog_degC__max,Tlog_degC__q75,0.977033815125085,0.977033815125085,False
Tdew_degC__median,H2OC_mmol_mol__mean,0.977005774838892,0.977005774838892,False
T_degC__q75,Tpot_K__median,0.976941420925265,0.976941420925265,False
Tlog_degC__min,Tlog_degC__q25,0.976756904502051,0.976756904502051,False
SWDR_W_m__mean,max_PAR_mol_m_s__q75,0.976708597106226,0.976708597106226,False
Tdew_degC__median,sh_g_kg__mean,0.976665890611209,0.976665890611209,False
T_degC__q25,Tpot_K__median,0.976527818719501,0.976527818719501,False
VPact_mbar__mean,VPact_mbar__max,0.976253210325632,0.976253210325632,False
Tdew_degC__max,Tdew_degC__q75,0.976159485197268,0.976159485197268,False
T_degC__min,Tpot_K__q25,0.976136811474183,0.976136811474183,False
H2OC_mmol_mol__mean,sh_g_kg__max,0.976126818275055,0.976126818275055,False
sh_g_kg__mean,sh_g_kg__max,0.976088090980313,0.976088090980313,False
H2OC_mmol_mol__mean,H2OC_mmol_mol__max,0.976065725176266,0.976065725176266,False
Tdew_degC__min,Tdew_degC__median,0.976055725453457,0.976055725453457,False
H2OC_mmol_mol__mean,VPact_mbar__max,0.976032531466858,0.976032531466858,False
H2OC_mmol_mol__max,sh_g_kg__mean,0.976023857608713,0.976023857608713,False
max_wv_m_s__mean,wv_m_s__median,0.976016031718236,0.976016031718236,False
Tpot_K__mean,Tlog_degC__q25,0.976013020578489,0.976013020578489,False
VPact_mbar__max,sh_g_kg__mean,0.975992508169815,0.975992508169815,False
VPact_mbar__mean,sh_g_kg__max,0.97595920893753,0.97595920893753,False
VPmax_mbar__diff_std,VPdef_mbar__diff_std,0.97594242829375,0.97594242829375,False
Tpot_K__q75,Tlog_degC__median,0.975939847072321,0.975939847072321,False
H2OC_mmol_mol__max,VPact_mbar__mean,0.975897255231941,0.975897255231941,False
H2OC_mmol_mol__min,sh_g_kg__median,0.975786681200396,0.975786681200396,False
VPmax_mbar__median,T_degC__median,0.975773625659079,0.975773625659079,False
H2OC_mmol_mol__min,H2OC_mmol_mol__median,0.97576429337289,0.97576429337289,False
Tpot_K__min,Tpot_K__q25,0.975757894451349,0.975757894451349,False
VPact_mbar__min,VPact_mbar__median,0.975726286783684,0.975726286783684,False
VPact_mbar__q25,VPact_mbar__q75,0.975704833711237,0.975704833711237,False
sh_g_kg__min,sh_g_kg__median,0.975686789376387,0.975686789376387,False
H2OC_mmol_mol__median,sh_g_kg__min,0.975661605161363,0.975661605161363,False
VPact_mbar__min,sh_g_kg__median,0.975643240793169,0.975643240793169,False
Tpot_K__median,Tlog_degC__mean,0.975642856390645,0.975642856390645,False
H2OC_mmol_mol__median,VPact_mbar__min,0.975620883418347,0.975620883418347,False
H2OC_mmol_mol__q25,sh_g_kg__q75,0.975577046129016,0.975577046129016,False
H2OC_mmol_mol__q25,H2OC_mmol_mol__q75,0.975549854956214,0.975549854956214,False
H2OC_mmol_mol__min,VPact_mbar__median,0.975545682662163,0.975545682662163,False
sh_g_kg__q25,sh_g_kg__q75,0.975540538976885,0.975540538976885,False
VPact_mbar__q25,sh_g_kg__q75,0.975533955039044,0.975533955039044,False
H2OC_mmol_mol__q75,sh_g_kg__q25,0.975509974092642,0.975509974092642,False
H2OC_mmol_mol__q75,VPact_mbar__q25,0.975507361729502,0.975507361729502,False
VPact_mbar__median,sh_g_kg__min,0.975443793446844,0.975443793446844,False
Tdew_degC__q75,VPact_mbar__mean,0.975417882671702,0.975417882671702,False
H2OC_mmol_mol__q25,VPact_mbar__q75,0.975401669570117,0.975401669570117,False
VPact_mbar__q75,sh_g_kg__q25,0.975363371956418,0.975363371956418,False
Tdew_degC__q75,H2OC_mmol_mol__mean,0.97525106772373,0.97525106772373,False
VPmax_mbar__mean,Tlog_degC__median,0.975217532349074,0.975217532349074,False
T_degC__min,T_degC__q25,0.975196554184175,0.975196554184175,False
Tdew_degC__q25,Tdew_degC__q75,0.975184695853858,0.975184695853858,False
Tpot_K__median,Tpot_K__q25,0.975102775320578,0.975102775320578,False
Tdew_degC__mean,VPact_mbar__q75,0.975096197363545,0.975096197363545,False
T_degC__median,T_degC__q25,0.97509526896061,0.97509526896061,False
VPmax_mbar__q75,T_degC__q75,0.975087868270775,0.975087868270775,False
Tdew_degC__min,VPact_mbar__min,0.975051620768227,0.975051620768227,False
T_degC__max,Tpot_K__q75,0.975008110698943,0.975008110698943,False
Tdew_degC__mean,H2OC_mmol_mol__q75,0.974962310402151,0.974962310402151,False
Tdew_degC__min,H2OC_mmol_mol__min,0.974937299327685,0.974937299327685,False
Tdew_degC__q75,sh_g_kg__mean,0.974927107967624,0.974927107967624,False
Tdew_degC__mean,sh_g_kg__q75,0.974644109185737,0.974644109185737,False
VPmax_mbar__mean,VPmax_mbar__max,0.974639753649994,0.974639753649994,False
VPmax_mbar__mean,Tlog_degC__mean,0.974608777199913,0.974608777199913,False
Tdew_degC__min,sh_g_kg__min,0.9746064711208,0.9746064711208,False
VPmax_mbar__max,T_degC__max,0.974605774282525,0.974605774282525,False
Tpot_K__q25,Tlog_degC__q25,0.974518493168237,0.974518493168237,False
max_wv_m_s__median,wv_m_s__mean,0.974508664277907,0.974508664277907,False
T_degC__skew,Tpot_K__skew,0.974262976283578,0.974262976283578,False
VPmax_mbar__mean,VPmax_mbar__q25,0.974262538313165,0.974262538313165,False
T_degC__max,Tlog_degC__mean,0.974212956878939,0.974212956878939,False
Tpot_K__mean,rho_g_m_3__q25,-0.97411109236516,0.97411109236516,False
Tpot_K__max,Tlog_degC__q75,0.973969810687418,0.973969810687418,False
T_degC__median,Tlog_degC__q25,0.973808051383182,0.973808051383182,False
Tpot_K__mean,Tlog_degC__median,0.973797198622556,0.973797198622556,False
max_PAR_mol_m_s__q75,PAR_mol_m_s__q75,0.973741299585639,0.973741299585639,False
Tlog_degC__median,Tlog_degC__q25,0.973626527074375,0.973626527074375,False
VPmax_mbar__std,VPdef_mbar__std,0.973517018335511,0.973517018335511,False
Tdew_degC__q25,VPact_mbar__mean,0.973349055310882,0.973349055310882,False
VPmax_mbar__median,Tlog_degC__median,0.973287748521618,0.973287748521618,False
Tdew_degC__q25,H2OC_mmol_mol__mean,0.973273976093479,0.973273976093479,False
VPmax_mbar__q25,Tpot_K__q25,0.973208633278085,0.973208633278085,False
Tdew_degC__q25,sh_g_kg__mean,0.972942827730226,0.972942827730226,False
Tpot_K__max,Tlog_degC__mean,0.972928628547315,0.972928628547315,False
Tdew_degC__q75,VPact_mbar__median,0.972804814077582,0.972804814077582,False
VPmax_mbar__q25,Tlog_degC__q25,0.97276518418585,0.97276518418585,False
Tdew_degC__q75,H2OC_mmol_mol__median,0.972641023236313,0.972641023236313,False
VPmax_mbar__min,Tpot_K__min,0.972418571998975,0.972418571998975,False
Tdew_degC__q75,sh_g_kg__median,0.972304131622089,0.972304131622089,False
Tpot_K__min,rho_g_m_3__max,-0.9721451364711,0.9721451364711,False
Tdew_degC__mean,VPact_mbar__q25,0.972091469275659,0.972091469275659,False
Tpot_K__max,Tlog_degC__max,0.971928652760507,0.971928652760507,False
Tdew_degC__mean,H2OC_mmol_mol__q25,0.971868476447295,0.971868476447295,False
T_degC__q25,Tlog_degC__min,0.971863521362253,0.971863521362253,False
Tdew_degC__median,VPact_mbar__q75,0.971811982716681,0.971811982716681,False
Tdew_degC__q25,VPact_mbar__median,0.971722255952459,0.971722255952459,False
max_wv_m_s__mean,wv_m_s__q75,0.971697732559032,0.971697732559032,False
Tdew_degC__q25,H2OC_mmol_mol__median,0.971650864505529,0.971650864505529,False
Tdew_degC__median,H2OC_mmol_mol__q75,0.971647009843102,0.971647009843102,False
Tdew_degC__mean,sh_g_kg__q25,0.971489093092441,0.971489093092441,False
